,Month,Mean Precipitation
0,Jan 1990,1.81
1,Feb 1990,2.81
2,Mar 1990,3.12
3,Apr 1990,2.78
4,May 1990,5.83
5,Jun 1990,5.5
6,Jul 1990,4.18
7,Aug 1990,3.81
8,Sep 1990,2.65
9,Oct 1990,3.57
10,Nov 1990,2.35
11,Dec 1990,4.01
12,Jan 1991,1.45
13,Feb 1991,1.23
14,Mar 1991,3.33
15,Apr 1991,4.12
16,May 1991,4.49
17,Jun 1991,2.93
18,Jul 1991,3.5
19,Aug 1991,2.7
20,Sep 1991,3.5
21,Oct 1991,3.62
22,Nov 1991,3.52
23,Dec 1991,2.3
24,Jan 1992,1.23
25,Feb 1992,1.37
26,Mar 1992,2.53
27,Apr 1992,2.92
28,May 1992,2.2
29,Jun 1992,2.75
30,Jul 1992,6.45
31,Aug 1992,3.08
32,Sep 1992,4.4
33,Oct 1992,1.58
34,Nov 1992,4.64
35,Dec 1992,2.17
36,Jan 1993,2.42
37,Feb 1993,1.43
38,Mar 1993,2.3
39,Apr 1993,3.92
40,May 1993,4.01
41,Jun 1993,6.12
42,Jul 1993,6.01
43,Aug 1993,4.6
44,Sep 1993,5.16
45,Oct 1993,2.21
46,Nov 1993,3.07
47,Dec 1993,1.48
48,Jan 1994,1.96
49,Feb 1994,1.63
50,Mar 1994,1.74
51,Apr 1994,4.85
52,May 1994,2.24
53,Jun 1994,4.36
54,Jul 1994,3.9
55,Aug 1994,3.84
56,Sep 1994,2.99
57,Oct 1994,2.18
58,Nov 1994,3.52
59,Dec 1994,1.52
60,Jan 1995,2.24
61,Feb 1995,1.02
62,Mar 1995,2.21
63,Apr 1995,3.75
64,May 1995,6.03
65,Jun 1995,3.46
66,Jul 1995,3.75
67,Aug 1995,4.38
68,Sep 1995,2.22
69,Oct 1995,3.43
70,Nov 1995,2.22
71,Dec 1995,1.48
72,Jan 1996,2.56
73,Feb 1996,1.04
74,Mar 1996,2.12
75,Apr 1996,3.61
76,May 1996,5.44
77,Jun 1996,4.69
78,Jul 1996,4.2
79,Aug 1996,2.49
80,Sep 1996,3.96
81,Oct 1996,2.94
82,Nov 1996,3.38
83,Dec 1996,2.17
84,Jan 1997,2.17
85,Feb 1997,2.38
86,Mar 1997,3.26
87,Apr 1997,2.05
88,May 1997,4.03
89,Jun 1997,4.34
90,Jul 1997,3.33
91,Aug 1997,3.81
92,Sep 1997,2.73
93,Oct 1997,2.36
94,Nov 1997,1.84
95,Dec 1997,1.5
96,Jan 1998,2.27
97,Feb 1998,2.0
98,Mar 1998,3.67
99,Apr 1998,3.88
100,May 1998,3.76
101,Jun 1998,6.6
102,Jul 1998,3.64
103,Aug 1998,3.38
104,Sep 1998,2.25
105,Oct 1998,3.89
106,Nov 1998,2.11
107,Dec 1998,1.55
108,Jan 1999,3.15
109,Feb 1999,1.77
110,Mar 1999,1.63
111,Apr 1999,4.47
112,May 1999,4.01
113,Jun 1999,4.36
114,Jul 1999,4.23
115,Aug 1999,2.91
116,Sep 1999,2.3
117,Oct 1999,1.61
118,Nov 1999,1.13
119,Dec 1999,2.03
120,Jan 2000,1.58
121,Feb 2000,2.2
122,Mar 2000,1.9
123,Apr 2000,2.47
124,May 2000,4.23
125,Jun 2000,5.82
126,Jul 2000,4.04
127,Aug 2000,3.37
128,Sep 2000,3.15
129,Oct 2000,1.88
130,Nov 2000,2.8
131,Dec 2000,2.02
132,Jan 2001,1.4
133,Feb 2001,2.61
134,Mar 2001,1.22
135,Apr 2001,3.59
136,May 2001,4.97
137,Jun 2001,4.16
138,Jul 2001,3.77
139,Aug 2001,3.5
140,Sep 2001,3.4
141,Oct 2001,4.13
142,Nov 2001,2.56
143,Dec 2001,2.11
144,Jan 2002,1.54
145,Feb 2002,1.49
146,Mar 2002,3.0
147,Apr 2002,4.1
148,May 2002,5.25
149,Jun 2002,4.12
150,Jul 2002,3.52
151,Aug 2002,4.03
152,Sep 2002,2.97
153,Oct 2002,3.39
154,Nov 2002,1.23
155,Dec 2002,1.7
156,Jan 2003,0.78
157,Feb 2003,1.9
158,Mar 2003,1.78
159,Apr 2003,3.15
160,May 2003,5.03
161,Jun 2003,4.09
162,Jul 2003,4.2
163,Aug 2003,2.75
164,Sep 2003,4.2
165,Oct 2003,1.85
166,Nov 2003,3.59
167,Dec 2003,2.08
168,Jan 2004,1.96
