,Month,Price
0,Jan-90,105.9005127
1,Feb-90,106.2941666
2,Mar-90,109.8373184
3,Apr-90,118.4983368
4,May-90,121.254097
5,Jun-90,120.0730667
6,Jul-90,114.9551926
7,Aug-90,109.8373184
8,Sep-90,102.3573608
9,Oct-90,99.99526978
10,Nov-90,99.99526978
11,Dec-90,102.3573608
12,Jan-91,105.506813
13,Feb-91,106.2941666
14,Mar-91,109.0499573
15,Apr-91,110.2310104
16,May-91,105.7351608
17,Jun-91,105.1131363
18,Jul-91,105.7298965
19,Aug-91,110.1188126
20,Sep-91,108.8531265
21,Oct-91,109.5233231
22,Nov-91,106.7978668
23,Dec-91,106.7206802
24,Jan-92,109.5863571
25,Feb-92,113.921257
26,Mar-92,116.6845932
27,Apr-92,109.0551376
28,May-92,109.1779099
29,Jun-92,110.2019272
30,Jul-92,102.3940582
31,Aug-92,97.53993225
32,Sep-92,98.2166748
33,Oct-92,94.55976868
34,Nov-92,95.17266083
35,Dec-92,94.04341888
36,Jan-93,94.09521484
37,Feb-93,94.2540741
38,Mar-93,97.53518677
39,Apr-93,100.4873734
40,May-93,99.22267151
41,Jun-93,92.72621155
42,Jul-93,101.8886871
43,Aug-93,100.3128967
44,Sep-93,101.0316772
45,Oct-93,105.7676315
46,Nov-93,115.9284592
47,Dec-93,121.2294998
48,Jan-94,126.7164536
49,Feb-94,123.6490097
50,Mar-94,120.1072922
51,Apr-94,113.4167328
52,May-94,110.6012573
53,Jun-94,112.0830994
54,Jul-94,98.73155212
55,Aug-94,96.15687561
56,Sep-94,97.60505676
57,Oct-94,96.11000061
58,Nov-94,95.60571289
59,Dec-94,102.5552368
60,Jan-95,106.8987732
61,Feb-95,106.9776611
62,Mar-95,109.6270676
63,Apr-95,109.6404877
64,May-95,111.9275818
65,Jun-95,120.0074387
66,Jul-95,127.3095627
67,Aug-95,126.297081
68,Sep-95,130.5130157
69,Oct-95,140.8163605
70,Nov-95,143.2122345
71,Dec-95,148.1885223
72,Jan-96,156.6707306
73,Feb-96,164.7122345
74,Mar-96,170.9611511
75,Apr-96,189.0330353
76,May-96,203.9989319
77,Jun-96,196.6393127
78,Jul-96,197.6199951
79,Aug-96,186.8200684
80,Sep-96,145.2391815
81,Oct-96,128.6087952
82,Nov-96,117.1368408
83,Dec-96,116.8350143
84,Jan-97,118.6951675
85,Feb-97,121.7462006
86,Mar-97,127.8605804
87,Apr-97,124.7128754
88,May-97,118.6108093
89,Jun-97,112.5813751
90,Jul-97,106.420723
91,Aug-97,111.9510193
92,Sep-97,112.236908
93,Oct-97,120.2442169
94,Nov-97,117.4047623
95,Dec-97,113.6043625
96,Jan-98,114.3672562
97,Feb-98,113.6187363
98,Mar-98,113.8404388
99,Apr-98,106.6878586
100,May-98,105.9669266
101,Jun-98,101.7516937
102,Jul-98,100.90448
103,Aug-98,88.3582077
104,Sep-98,85.71444702
105,Oct-98,95.49475861
106,Nov-98,97.38452911
107,Dec-98,95.32476044
108,Jan-99,97.45187378
109,Feb-99,94.56400472
110,Mar-99,96.42645008
111,Apr-99,94.03847853
112,May-99,92.71706567
113,Jun-99,92.94701183
114,Jul-99,83.59840304
115,Aug-99,86.38191473
116,Sep-99,87.12092088
117,Oct-99,85.65047121
118,Nov-99,85.40934063
119,Dec-99,87.22283768
120,Jan-00,92.95327496
121,Feb-00,95.08161904
122,Mar-00,95.16935111
123,Apr-00,95.53937295
124,May-00,95.53055089
125,Jun-00,84.0395145
126,Jul-00,75.05737521
127,Aug-00,75.24053114
128,Sep-00,80.15057627
129,Oct-00,84.7072744
130,Nov-00,88.93710783
131,Dec-00,96.22420376
132,Jan-01,94.29723327
133,Feb-01,92.37751482
134,Mar-01,91.01215357
135,Apr-01,87.54506652
136,May-01,85.07752309
137,Jun-01,83.16066599
138,Jul-01,90.75466954
139,Aug-01,92.87903164
140,Sep-01,89.74398849
141,Oct-01,86.26773913
142,Nov-01,89.88255424
143,Dec-01,92.31151517
144,Jan-02,91.96696059
145,Feb-02,90.72819384
146,Mar-02,89.85794911
147,Apr-02,87.10664777
148,May-02,90.33130502
149,Jun-02,93.16980013
150,Jul-02,99.70000268
151,Aug-02,109.8910018
152,Sep-02,113.9414542
153,Oct-02,109.6468099
154,Nov-02,108.6464294
155,Dec-02,107.0126485
156,Jan-03,105.8442561
157,Feb-03,106.14108
158,Mar-03,105.1318789
159,Apr-03,105.3380934
160,May-03,107.9064007
161,Jun-03,107.0253026
162,Jul-03,97.67066497
163,Aug-03,100.3495782
164,Sep-03,103.2384553
165,Oct-03,104.2059516
166,Nov-03,108.1004849
167,Dec-03,111.9922096
168,Jan-04,116.2455883
169,Feb-04,122.9324291
170,Mar-04,128.4601949
171,Apr-04,133.4394997
172,May-04,129.2852157
173,Jun-04,123.278751
174,Jul-04,104.4944888
175,Aug-04,104.0931375
176,Sep-04,97.72690527
177,Oct-04,93.41514847
178,Nov-04,93.75851034
179,Dec-04,95.60852041
180,Jan-05,96.03875875
181,Feb-05,94.35939361
182,Mar-05,100.0140111
