LOCATION,INDICATOR,TIME,Value
USA,CPI,1990-01,5.202312
USA,CPI,1990-02,5.263158
USA,CPI,1990-03,5.233034
USA,CPI,1990-04,4.711617
USA,CPI,1990-05,4.361874
USA,CPI,1990-06,4.67365
USA,CPI,1990-07,4.823151
USA,CPI,1990-08,5.617978
USA,CPI,1990-09,6.16
USA,CPI,1990-10,6.289809
USA,CPI,1990-11,6.274821
USA,CPI,1990-12,6.106265
USA,CPI,1991-01,5.651491
USA,CPI,1991-02,5.3125
USA,CPI,1991-03,4.895105
USA,CPI,1991-04,4.88751
USA,CPI,1991-05,4.95356
USA,CPI,1991-06,4.69592
USA,CPI,1991-07,4.447853
USA,CPI,1991-08,3.799392
USA,CPI,1991-09,3.391108
USA,CPI,1991-10,2.921348
USA,CPI,1991-11,2.989537
USA,CPI,1991-12,3.064275
USA,CPI,1992-01,2.600297
USA,CPI,1992-02,2.818991
USA,CPI,1992-03,3.185185
USA,CPI,1992-04,3.180473
USA,CPI,1992-05,3.023599
USA,CPI,1992-06,3.088235
USA,CPI,1992-07,3.157122
USA,CPI,1992-08,3.147877
USA,CPI,1992-09,2.988338
USA,CPI,1992-10,3.202329
USA,CPI,1992-11,3.047895
USA,CPI,1992-12,2.900653
USA,CPI,1993-01,3.258508
USA,CPI,1993-02,3.246753
USA,CPI,1993-03,3.086863
USA,CPI,1993-04,3.225806
USA,CPI,1993-05,3.221188
USA,CPI,1993-06,2.99572
USA,CPI,1993-07,2.775801
USA,CPI,1993-08,2.76792
USA,CPI,1993-09,2.689313
USA,CPI,1993-10,2.750353
USA,CPI,1993-11,2.676056
USA,CPI,1993-12,2.748414
USA,CPI,1994-01,2.524544
USA,CPI,1994-02,2.515723
USA,CPI,1994-03,2.506964
USA,CPI,1994-04,2.361111
USA,CPI,1994-05,2.288488
USA,CPI,1994-06,2.493075
USA,CPI,1994-07,2.770083
USA,CPI,1994-08,2.900553
USA,CPI,1994-09,2.963474
USA,CPI,1994-10,2.608099
USA,CPI,1994-11,2.674897
USA,CPI,1994-12,2.674897
USA,CPI,1995-01,2.804378
USA,CPI,1995-02,2.862986
USA,CPI,1995-03,2.853261
USA,CPI,1995-04,3.052917
USA,CPI,1995-05,3.186441
USA,CPI,1995-06,3.04054
USA,CPI,1995-07,2.762803
USA,CPI,1995-08,2.61745
USA,CPI,1995-09,2.543507
USA,CPI,1995-10,2.809365
USA,CPI,1995-11,2.60521
USA,CPI,1995-12,2.53841
USA,CPI,1996-01,2.727878
USA,CPI,1996-02,2.650762
USA,CPI,1996-03,2.840158
USA,CPI,1996-04,2.896642
USA,CPI,1996-05,2.890933
USA,CPI,1996-06,2.754098
USA,CPI,1996-07,2.95082
USA,CPI,1996-08,2.877698
USA,CPI,1996-09,3.002611
USA,CPI,1996-10,2.992843
USA,CPI,1996-11,3.255208
USA,CPI,1996-12,3.322476
